,text,sentiment
0,#AAPL:The 10 best Steve Jobs emails ever...http://t.co/82G1kL94tx,0
1,"RT @JPDesloges: Why AAPL Stock Had a Mini-Flash Crash Today $AAPL #aapl
http://t.co/hGFcjYa0E9",0
2,My cat only chews @apple cords. Such an #AppleSnob.,0
3,"I agree with @jimcramer that the #IndividualInvestor should own not trade #Apple #AAPL, it's extended so today's pullback is good to see",0
4,Nobody expects the Spanish Inquisition #AAPL,0
5,#AAPL:5 Rocket Stocks to Buy for December Gains: Apple and More...http://t.co/eG5XhXdLLS,0
6,Top 3 all @Apple #tablets. Damn right! http://t.co/RJiGn2JUuB,1
7,CNBCTV: #Apple's margins better than expected? #aapl http://t.co/7geVrtOGLK,1
8,Apple Inc. Flash Crash: What You Need to Know http://t.co/YJIgtifdAj #AAPL,0
9,#AAPL:This Presentation Shows What Makes The World's Biggest Tech Companies ...http://t.co/qlH9PqSoSd,0
10,WTF MY BATTERY WAS 31% ONE SECOND AGO AND NOW IS 29% WTF IS THIS @apple,-1
11,Apple Watch Tops Search Engine List of Best Wearable Tech http://t.co/LTEzJzqqF8 #AAPL #iWatch #AppleWatch,0
12,"The Best-Designed #iPhone #Apps In the World, According to @apple: http://t.co/Razqvpxofg http://t.co/ev7uKWiEcz",0
13,RT @peterpham: Bought my @AugustSmartLock at the @apple store..pretty good logo match . can't wait to install it! http://t.co/z8VKMhbnR3,1
14,@apple Contact sync between Yosemite and iOS8 is seriously screwed up. It used to be much more stable in the past. #icloud #isync,-1
15,#aapl @applenws Thanks to the non factual dumb Twitter followers stock drops 3 points in one minute. Thanks dummies. #rumors,0
16,WARNING IF YOU BUY AN IPHONE 5S UNLOCKED FROM @APPLE IPHONE YOU CANNOT USE IT ON VERIZON NETWORK,-1
18,@apple- thanks for xtra checkin at upper westside store- but why are appointments running almost 50 minutes late?,0
19,Why #AAPL Stock Had a Mini-Flash Crash Today: Money Morning: Nothing the analysts suggested would make a widel... http://t.co/jFGsSy2Ei3,0
21,The JH Hines Staff with their newly issued @apple #ConnectED Macbook and iPad mini #txed http://t.co/82YjiCJBxH,0
22,@robconeybeer: You need an IP portfolio to defend against big companies - just look at @Samsung @Apple court battles,0
23,"@Apple, For the love of GAWD, CENTER the '1'on the damn calendar app. You fixed it once, its back, off center, AGAIN! http://t.co/dMyAHEm1Lc",-1
24,i get the storage almost full notification literally every 5 minutes chill @apple,-1
25,I had to do made the #switch from iPhone 6 to the galaxy note edge. @apple keep up http://t.co/1Vve1htP0n,-1
26,@ me RT @101Baemations: Can't stand those ppl with @Apple stickers everywhere. 9/10 they prob just bought an iPod shuffle,-1
27,Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,0
28,Latest Apple Products Leading in Efficiency http://t.co/KHeNlVT1FJ @apple #iPhone #iPad #plugloads,1
30,Good be huge RT @thehill Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/QmLBuvG6Xz,0
31,@thehill @Apple i cite the 4th amendment as a retort,0
33,RT @saxonidubom: @rwang0 @Apple Thanks...thinking of upgrading.,1
35,Way to stay relevant RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/mptcggWZO1,0
36,Apple Inc. Flash Crash: What You Need to Know http://t.co/Ko9PT6yuMV #AAPL,0
37,"http://t.co/hpC7p1rHvA
need help on using your #Apple #iPhone6 &amp; #iPhone6Plus ? #checkitout
@applenws @apple http://t.co/K3fQHPazMc",0
39,That flash crash really screwed with a lot of traders today. Not me. Im more determined than ever to make trading work for me #AAPL,-1
40,RT @tra_hall: The JH Hines Staff with their newly issued @Apple #ConnectED Macbook and iPad mini #txed http://t.co/82YjiCJBxH #txed,0
41,Nigga update yall headphones @Apple,-1
44,"Ok, @apple. You win. I won't use your browser anymore since it keeps closing on me. Literally 8 times today. I counted.",-1
46,@thehill @Apple I cite the us constitution where judges cannot pass laws! Violation of the separation of powers,-1
47,@apple U need to get ur fucking shit together and let me txt while on YouTube,-1
48,@thehill @Apple Wish we could prosecute the admin for violation of privacy and criminal search and seizure,-1
50,@thehill @Apple Furthermore there are no provisions for secrecy in the constitution as such such activities are sedition by the US gov.,0
51,#AAPL:Here's why Apple dropped...http://t.co/qVpNCJv1pb,-1
52,This one chart explains @tim_cook's affect on @Apple. Paints an interesting story. What do you think? http://t.co/7cBY6jL5Pn,0
55,"Final #AAPL #PutCallRatios for Monday, December 1, 2014 http://t.co/EVJC0tNGPJ",0
56,#AAPL Launches Red #Apple Logo for World AIDS Day: Dec. 1 is World AIDS Day and the red Apple logo will be abl... http://t.co/crc6VpIELd,0
57,hey @apple fuck you,-1
58,5 Companies Growing Faster Than Apple Inc. http://t.co/PgCG4CkJK9 #AAPL,0
59,@apple why doesn't your people explain precautions when buying an expensive laptop,-1
61,@Quailman_ @Apple u was bored huh,0
62,RT @wagner_tim: @robconeybeer: You need an IP portfolio to defend against big companies - just look at @Samsung @Apple court battles,0
63,"As a die hard @Apple customer, I must say I am truly displeased with the customer service I was given today. #badservice #Apple",-1
64,@Apple made it clear today that I as a customer are not worth a measly $79!! An employee gave mis info and they will not stand behind it,-1
65,INSPI(RED) by @Apple and @tim_cook on #WorldAIDSDAY. 100% of #AppsforRED in @AppStore go to fight AIDs. Get @Farmville2 and @CSRRacing @RED,0
67,16GB @Apple #iPad Air 2 Retina WiFi Tablet $400 + Free Shipping via #EBAY http://t.co/TrkYuoYew7 #CyberMonday #firstworldproblems,0
68,Photo: Love IOS 8 @apple @iphone #Love #IOS8 #NoCrop #iphone #young #phone #screen #capturescream #boy... http://t.co/fIDj9FxHDV,1
69,Why does @Apple force people to use its VPN built in to iOS8? Off button doesn't work FFS. Like I want Apple's NSA data collection service.,-1
70,Then how the hell did I take this screenshot? @apple @timcook http://t.co/NvFWwi4JsM,-1
71,RT @thehill Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/WY4zI6XQtF,0
73,Buy round lot on the open MT @WSJD #AAPL stock briefly dove 6.4% today. Analysts not sure why http://t.co/F6e73eJUJE http://t.co/2qQvMWOotv,-1
74,3G is draining my battery fix this @apple,-1
76,@apple your chargers suck ass! They just love to break!,-1
78,"#AAPL:My Three Horsemen Of The NASDAQ 100:  Apple, Microsoft And Gilead Scie...http://t.co/cDvoZfGSBX",0
80,I'm hoping @apple won't automatically make us download Bruce Springsteen and U2 singing together.  #u2 #bruce #espn #thatwasbad,-1
81,@thehill @Apple What a joke! Justice Dept should prosecute Killer Wilson in pursuit of JUSTICE. #Ferguson IS NOT OVER!,-1
82,@aydlettgwyn13 @apple please educate us,0
83,RT @TinfoilTricorn: @thehill @Apple Wish we could prosecute the admin for violation of privacy and criminal search and seizure,-1
84,The game #traders play in the name of #market #liquidity #HFT #darkpools #stock #trading #algorithms #AAPL  http://t.co/laKjpr89S8,0
85,#AAPL:10 Steve Jobs emails you need to read...http://t.co/82G1kL94tx,0
86,So so sooooo annoyed. Did the restore from my back up and lost my voice mails. I needed to keep those. Thanks a lot @apple,-1
87,Thisn#Yosemite update is stressing me out @apple #macbookpro,-1
88,Just broke my 3rd charger of the month. Get your shit together @apple,-1
89,"This iPhone 6 battery isn't as good as you claim, @apple",-1
90,#Nasdaq big fall. @FB @Baba @Twtr @Linkd @Apple fell 3-6% on Monday! See whether follow up ..,-1
